X	Y	Z	T
-0.6	-0.6	-0.6	0
-0.6	-0.6	0.6	0
-0.6	0.6	-0.6	0
-0.6	0.6	0.6	0
0.6	-0.6	-0.6	0
0.6	-0.6	0.6	0
0.6	0.6	-0.6	0
0.6	0.6	0.6	0
-0.5	-0.5	-0.5	1
-0.49	-0.5	-0.5	1
-0.48	-0.5	-0.5	1
-0.47	-0.5	-0.5	1
-0.46	-0.5	-0.5	1
-0.45	-0.5	-0.5	1
-0.44	-0.5	-0.5	1
-0.43	-0.5	-0.5	1
-0.42	-0.5	-0.5	1
-0.41000000000000003	-0.5	-0.5	1
-0.4	-0.5	-0.5	1
-0.39	-0.5	-0.5	1
-0.38	-0.5	-0.5	1
-0.37	-0.5	-0.5	1
-0.36	-0.5	-0.5	1
-0.35	-0.5	-0.5	1
-0.33999999999999997	-0.5	-0.5	1
-0.32999999999999996	-0.5	-0.5	1
-0.32	-0.5	-0.5	1
-0.31	-0.5	-0.5	1
-0.3	-0.5	-0.5	1
-0.29000000000000004	-0.5	-0.5	1
-0.28	-0.5	-0.5	1
-0.27	-0.5	-0.5	1
-0.26	-0.5	-0.5	1
-0.25	-0.5	-0.5	1
-0.24	-0.5	-0.5	1
-0.22999999999999998	-0.5	-0.5	1
-0.21999999999999997	-0.5	-0.5	1
-0.21000000000000002	-0.5	-0.5	1
-0.2	-0.5	-0.5	1
-0.19	-0.5	-0.5	1
-0.18	-0.5	-0.5	1
-0.16999999999999998	-0.5	-0.5	1
-0.15999999999999998	-0.5	-0.5	1
-0.15000000000000002	-0.5	-0.5	1
-0.14	-0.5	-0.5	1
-0.13	-0.5	-0.5	1
-0.12	-0.5	-0.5	1
-0.10999999999999999	-0.5	-0.5	1
-0.09999999999999998	-0.5	-0.5	1
-0.09000000000000002	-0.5	-0.5	1
-0.08000000000000002	-0.5	-0.5	1
-0.07	-0.5	-0.5	1
-0.06	-0.5	-0.5	1
-0.04999999999999999	-0.5	-0.5	1
-0.03999999999999998	-0.5	-0.5	1
-0.030000000000000027	-0.5	-0.5	1
-0.020000000000000018	-0.5	-0.5	1
-0.010000000000000009	-0.5	-0.5	1
0.0	-0.5	-0.5	1
0.010000000000000009	-0.5	-0.5	1
0.020000000000000018	-0.5	-0.5	1
0.030000000000000027	-0.5	-0.5	1
0.040000000000000036	-0.5	-0.5	1
0.050000000000000044	-0.5	-0.5	1
0.06000000000000005	-0.5	-0.5	1
0.06999999999999995	-0.5	-0.5	1
0.07999999999999996	-0.5	-0.5	1
0.08999999999999997	-0.5	-0.5	1
0.09999999999999998	-0.5	-0.5	1
0.10999999999999999	-0.5	-0.5	1
0.12	-0.5	-0.5	1
0.13	-0.5	-0.5	1
0.14	-0.5	-0.5	1
0.15000000000000002	-0.5	-0.5	1
0.16000000000000003	-0.5	-0.5	1
0.17000000000000004	-0.5	-0.5	1
0.18000000000000005	-0.5	-0.5	1
0.18999999999999995	-0.5	-0.5	1
0.19999999999999996	-0.5	-0.5	1
0.20999999999999996	-0.5	-0.5	1
0.21999999999999997	-0.5	-0.5	1
0.22999999999999998	-0.5	-0.5	1
0.24	-0.5	-0.5	1
0.25	-0.5	-0.5	1
0.26	-0.5	-0.5	1
0.27	-0.5	-0.5	1
0.28	-0.5	-0.5	1
0.29000000000000004	-0.5	-0.5	1
0.30000000000000004	-0.5	-0.5	1
0.31000000000000005	-0.5	-0.5	1
0.31999999999999995	-0.5	-0.5	1
0.32999999999999996	-0.5	-0.5	1
0.33999999999999997	-0.5	-0.5	1
0.35	-0.5	-0.5	1
0.36	-0.5	-0.5	1
0.37	-0.5	-0.5	1
0.38	-0.5	-0.5	1
0.39	-0.5	-0.5	1
0.4	-0.5	-0.5	1
0.41000000000000003	-0.5	-0.5	1
0.42000000000000004	-0.5	-0.5	1
0.43000000000000005	-0.5	-0.5	1
0.43999999999999995	-0.5	-0.5	1
0.44999999999999996	-0.5	-0.5	1
0.45999999999999996	-0.5	-0.5	1
0.47	-0.5	-0.5	1
0.48	-0.5	-0.5	1
0.49	-0.5	-0.5	1
-0.5	0.5	-0.5	1
-0.49	0.5	-0.5	1
-0.48	0.5	-0.5	1
-0.47	0.5	-0.5	1
-0.46	0.5	-0.5	1
-0.45	0.5	-0.5	1
-0.44	0.5	-0.5	1
-0.43	0.5	-0.5	1
-0.42	0.5	-0.5	1
-0.41000000000000003	0.5	-0.5	1
-0.4	0.5	-0.5	1
-0.39	0.5	-0.5	1
-0.38	0.5	-0.5	1
-0.37	0.5	-0.5	1
-0.36	0.5	-0.5	1
-0.35	0.5	-0.5	1
-0.33999999999999997	0.5	-0.5	1
-0.32999999999999996	0.5	-0.5	1
-0.32	0.5	-0.5	1
-0.31	0.5	-0.5	1
-0.3	0.5	-0.5	1
-0.29000000000000004	0.5	-0.5	1
-0.28	0.5	-0.5	1
-0.27	0.5	-0.5	1
-0.26	0.5	-0.5	1
-0.25	0.5	-0.5	1
-0.24	0.5	-0.5	1
-0.22999999999999998	0.5	-0.5	1
-0.21999999999999997	0.5	-0.5	1
-0.21000000000000002	0.5	-0.5	1
-0.2	0.5	-0.5	1
-0.19	0.5	-0.5	1
-0.18	0.5	-0.5	1
-0.16999999999999998	0.5	-0.5	1
-0.15999999999999998	0.5	-0.5	1
-0.15000000000000002	0.5	-0.5	1
-0.14	0.5	-0.5	1
-0.13	0.5	-0.5	1
-0.12	0.5	-0.5	1
-0.10999999999999999	0.5	-0.5	1
-0.09999999999999998	0.5	-0.5	1
-0.09000000000000002	0.5	-0.5	1
